Id;PostId;UserId;BountyAmount;VoteTypeId;CreationDate
218;19;NULL;NULL;2;2008-08-01 00:00:00.000
223;130;NULL;NULL;2;2008-08-01 00:00:00.000
224;108;NULL;NULL;2;2008-08-01 00:00:00.000
225;94;NULL;NULL;1;2008-08-01 00:00:00.000
261;86;NULL;NULL;2;2008-08-01 00:00:00.000
263;152;NULL;NULL;2;2008-08-01 00:00:00.000
264;152;NULL;NULL;2;2008-08-01 00:00:00.000
266;153;NULL;NULL;2;2008-08-01 00:00:00.000
269;10;NULL;NULL;2;2008-08-01 00:00:00.000
270;30;NULL;NULL;3;2008-08-01 00:00:00.000
271;73;NULL;NULL;3;2008-08-01 00:00:00.000
272;19;NULL;NULL;3;2008-08-01 00:00:00.000
279;10;NULL;NULL;2;2008-08-01 00:00:00.000
281;117;NULL;NULL;2;2008-08-01 00:00:00.000
282;151;NULL;NULL;2;2008-08-01 00:00:00.000
286;103;NULL;NULL;2;2008-08-01 00:00:00.000
289;71;NULL;NULL;2;2008-08-01 00:00:00.000
290;112;NULL;NULL;2;2008-08-01 00:00:00.000
292;163;NULL;NULL;2;2008-08-01 00:00:00.000
294;166;NULL;NULL;2;2008-08-01 00:00:00.000
295;167;NULL;NULL;2;2008-08-01 00:00:00.000
296;170;NULL;NULL;2;2008-08-01 00:00:00.000
297;140;NULL;NULL;2;2008-08-01 00:00:00.000
299;169;NULL;NULL;2;2008-08-01 00:00:00.000
303;84;NULL;NULL;2;2008-08-01 00:00:00.000
304;180;NULL;NULL;2;2008-08-01 00:00:00.000
305;179;NULL;NULL;2;2008-08-01 00:00:00.000
306;182;NULL;NULL;2;2008-08-01 00:00:00.000
309;179;NULL;NULL;1;2008-08-01 00:00:00.000
313;181;NULL;NULL;2;2008-08-01 00:00:00.000
314;13;NULL;NULL;3;2008-08-01 00:00:00.000
315;170;NULL;NULL;2;2008-08-01 00:00:00.000
318;185;NULL;NULL;2;2008-08-01 00:00:00.000
319;179;NULL;NULL;2;2008-08-01 00:00:00.000
334;196;NULL;NULL;3;2008-08-01 00:00:00.000
336;196;NULL;NULL;3;2008-08-01 00:00:00.000
337;191;NULL;NULL;2;2008-08-01 00:00:00.000
338;196;NULL;NULL;3;2008-08-01 00:00:00.000
339;195;NULL;NULL;2;2008-08-01 00:00:00.000
340;196;NULL;NULL;3;2008-08-01 00:00:00.000
341;196;NULL;NULL;3;2008-08-01 00:00:00.000
345;196;NULL;NULL;3;2008-08-01 00:00:00.000
346;196;NULL;NULL;3;2008-08-01 00:00:00.000
347;166;NULL;NULL;2;2008-08-01 00:00:00.000
348;196;NULL;NULL;3;2008-08-01 00:00:00.000
349;184;NULL;NULL;2;2008-08-01 00:00:00.000
352;196;NULL;NULL;3;2008-08-01 00:00:00.000
353;203;NULL;NULL;3;2008-08-01 00:00:00.000
355;196;NULL;NULL;3;2008-08-01 00:00:00.000
359;203;NULL;NULL;2;2008-08-01 00:00:00.000
360;196;NULL;NULL;3;2008-08-01 00:00:00.000
361;179;NULL;NULL;2;2008-08-01 00:00:00.000
